Year,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Exports_Billion_USD,Imports_Billion_USD,Agriculture_Contribution,Industry_Contribution,Population_Millions
2016,8.41,5.91,8.63,228.14,465.10,16.17,27.35,1328.02
2017,9.41,6.91,9.63,253.98,480.17,16.36,26.62,1343.94
2018,10.41,7.91,10.63,278.60,582.02,16.56,26.50,1359.66
2019,11.41,8.91,11.63,289.73,640.30,16.03,26.41,1374.66
2020,12.41,9.91,12.63,256.66,602.32,16.76,24.59,1389.03
2021,13.41,10.91,13.63,315.70,510.24,18.67,25.12,1402.62
2022,14.41,11.91,14.63,368.41,760.90,17.37,26.47,1414.20
2023,15.41,12.91,15.63,370.58,897.55,16.55,25.38,1425.42
2024,16.41,13.91,16.63,390.59,856.65,16.19,25.30,1438.07
2025,17.41,14.91,17.63,395.59,918.33,16.29,24.63,1450.94
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,, ,,,,
